,fraction,value
0,0.0,-3.628919530659914
1,0.0,-3.5945973636512205
2,0.0,-3.560275196642527
3,0.0,-3.5259530296338335
4,0.0,-3.49163086262514
5,0.0,-3.4573086956164465
6,0.0,-3.422986528607753
7,0.0,-3.3886643615990595
8,0.0,-3.354342194590366
9,0.0,-3.3200200275816725
10,0.0,-3.285697860572979
0,2.477495771770171e-07,-3.2513756935642855
1,2.477495771770171e-07,-3.217053526555592
2,1.7342469549739493e-06,-3.1827313595468985
3,7.432487144780173e-06,-3.148409192538205
4,0.00017515894358923782,-3.1140870255295114
5,3.2207442475057115e-05,-3.079764858520818
6,7.828886240889612e-05,-3.0454426915121244
7,3.5180440243353666e-05,-3.011120524503431
8,0.00011891979431648276,-2.9767983574947374
9,0.00013304151825447382,-2.942476190486044
10,0.00010900981145677586,-2.908154023477351
11,6.045089398901983e-05,-2.8738318564686574
12,0.0001352712656712011,-2.839509689459964
13,0.00016524896800549214,-2.8051875224512703
14,0.0001977041496837972,-2.770865355442577
15,0.0002564207928524887,-2.7365431884338833
16,0.00047543141623479946,-2.70222102142519
17,0.0002769840271133748,-2.6678988544164963
18,0.00022768185201808825,-2.633576687407803
19,0.0004357914847959719,-2.5992545203991093
20,0.0004625484537966991,-2.564932353390416
21,0.00047047642844292664,-2.5306101863817223
22,0.0005700717354464915,-2.496288019373029
23,0.0007823931311305429,-2.4619658523643353
24,0.0007863571330055791,-2.427643685355642
25,0.00103633645919094,-2.3933215183469483
26,0.0008916507108944116,-2.358999351338255
27,0.0008549837663099387,-2.3246771843295613
28,0.0008076635921521703,-2.2903550173208678
29,0.0010400526709309999,-2.2560328503121743
30,0.000987282045126785,-2.221710683303481
31,0.0012724417497098294,-2.1873885162947877
32,0.0021259390080406683,-2.153066349286094
33,0.001677016857983154,-2.1187441822774007
34,0.0017030305729943314,-2.084422015268707
35,0.0013262034196385704,-2.0500998482600137
36,0.0015271283317597763,-2.01577768125132
37,0.001608885688533368,-1.9814555142426264
38,0.0019381448193886944,-1.947133347233933
39,0.0020808485376438597,-1.9128111802252394
40,0.002781732218551167,-1.878489013216546
41,0.002064992530143715,-1.8441668462078524
42,0.0019886857414319493,-1.809844679199159
43,0.003255429191152666,-1.7755225121904654
44,0.002806259309167865,-1.741200345181772
45,0.003762820499834266,-1.7068781781730786
46,0.0038433389641406653,-1.6725560111643851
47,0.0034345521802727074,-1.6382338441556916
48,0.0037635636956161265,-1.6039116771469981
49,0.003171442247033494,-1.5695895101383046
50,0.003980344731652857,-1.535267343129611
51,0.006217523291291067,-1.5009451761209176
52,0.004225368837215586,-1.466623009112224
53,0.004504582742712989,-1.4323008421035306
54,0.006285654227910094,-1.397978675094837
55,0.005460895968621345,-1.3636565080861436
56,0.007090097072176778,-1.32933434107745
57,0.005131636954181398,-1.2950121740687566
58,0.005744569048809911,-1.260690007060063
59,0.007405482167365633,-1.2263678400513696
60,0.0075858440489528665,-1.192045673042676
61,0.008803780816536716,-1.1577235060339826
62,0.006878766837032632,-1.123401339025289
63,0.008141050413569911,-1.0890791720165955
64,0.009849036323602255,-1.054757005007902
65,0.008736888539554122,-1.0204348379992085
66,0.008544386862206804,-0.986112670990515
67,0.014099675680047156,-0.9517905039818215
68,0.00864249615599663,-0.917468336973128
69,0.010716655000280713,-0.8831461699644345
70,0.009689733518480462,-0.8488240029557415
71,0.011181681355427176,-0.814501835947048
72,0.010040299341313138,-0.7801796689383544
73,0.013526630754019397,-0.7458575019296609
74,0.01300189727910469,-0.7115353349209674
75,0.010494423629012916,-0.6772131679122739
76,0.01097035112028303,-0.6428910009035804
77,0.013250142365383664,-0.6085688338948869
78,0.010452801871259638,-0.5742466668861934
79,0.013340075574249995,-0.5399244998774999
80,0.015560407431509672,-0.5056023328688064
81,0.01282847282280452,-0.4712801658601129
82,0.013176808126968581,-0.4369579988514194
83,0.015725408070959058,-0.4026358318427259
84,0.015903044901346138,-0.3683136648340324
85,0.012508379889674182,-0.3339914978253389
86,0.011818893507237376,-0.2996693308166454
87,0.012545294740809012,-0.26534716380795187
88,0.009109255703311066,-0.23102499679925836
89,0.009224459431406713,-0.19670282979056486
90,0.006747459602340312,-0.16238066278187135
91,0.006481624152239427,-0.12805849577317785
92,0.006164256735970761,-0.09373632876448434
93,0.008214632383912282,-0.05941416175579084
94,0.005803037974603237,-0.025091994747097335
95,0.006550498750301832,0.00923017226159617
96,0.008882812889279394,0.043552339270289675
97,0.010302666078770492,0.07787450627898318
98,0.011521841505990775,0.11219667328767668
99,0.011317695496737945,0.1465188402963702
100,0.011105126601957366,0.1808410073050637
101,0.012106034368746438,0.21516317431375676
102,0.013265502676198478,0.24948534132245026
103,0.013832353372721033,0.28380750833114377
104,0.014724500304169984,0.31812967533983727
105,0.017588732143953567,0.3524518423485308
106,0.01668692459866347,0.3867740093572243
107,0.015234616664051738,0.4210961763659178
108,0.016704018101646255,0.4554183433746113
109,0.01441134479632671,0.4897405103833048
110,0.012683291668861108,0.5240626773919983
111,0.01394681390503482,0.5583848444006918
112,0.010058384703328106,0.5927070114093853
113,0.013265750408125764,0.6270291784180788
114,0.011098684640524875,0.6613513454267723
115,0.0136170594267403,0.6956735124354658
116,0.012475429680698976,0.7299956794441593
117,0.010939629567330371,0.7643178464528528
118,0.008764636378056306,0.7986400134615463
119,0.010671812727472708,0.8329621804702398
120,0.009046823532342669,0.8672843474789333
121,0.011321411475647246,0.9016065144876269
122,0.009155337567078538,0.9359286814963204
123,0.012269301816027853,0.9702508485050139
124,0.0076056640001203575,1.0045730155137074
